,Age,EmployeeNumber,MaritalStatus,count
303,32.25,188,Single,2
304,34.6,108.2,Married,2
305,34.6,108.2,Single,3
306,34.2,174.2,Divorced,1
307,34.2,174.2,Married,2
308,34.2,174.2,Single,2
309,30,253,Divorced,1
310,30,253,Married,1
311,30,253,Single,1
312,31.66666667,256,Married,2
313,31.66666667,256,Single,1
314,30.33333333,301.3333333,Married,1
315,30.33333333,301.3333333,Single,2
316,31.75,332.75,Divorced,1
317,31.75,332.75,Married,2
318,31.75,332.75,Single,1
319,33,266.3333333,Married,2
320,33,266.3333333,Single,1
321,33,330.3333333,Married,3
322,34.33333333,254.6666667,Married,2
323,34.33333333,254.6666667,Single,1
324,34.5,299.75,Divorced,1
325,34.5,299.75,Married,1
326,34.5,299.75,Single,2
327,31,392,Divorced,1
328,31,392,Married,3
329,31,392,Single,1
330,23,784.3333333,Married,2
331,23,784.3333333,Single,1
332,24.33333333,771,Divorced,1
333,24.33333333,771,Single,2
334,25,872.6666667,Married,2
335,25,872.6666667,Single,1
336,24.33333333,949.6666667,Divorced,1
337,24.33333333,949.6666667,Married,2
338,27.66666667,510.3333333,Divorced,2
339,27.66666667,510.3333333,Single,1
340,29,580,Divorced,1
341,29,580,Married,2
342,26.66666667,654.3333333,Divorced,2
343,26.66666667,654.3333333,Married,1
344,27.33333333,692,Married,2
345,27.33333333,692,Single,1
346,27,724,Divorced,2
347,27,724,Married,1
348,28.66666667,733.3333333,Divorced,1
349,28.66666667,733.3333333,Single,2
350,29,791.6666667,Divorced,1
351,29,791.6666667,Married,2
352,28.33333333,832.6666667,Married,2
353,28.33333333,832.6666667,Single,1
354,27,855.6666667,Divorced,1
355,27,855.6666667,Married,2
356,28.66666667,908,Divorced,2
357,28.66666667,908,Single,1
358,26.66666667,963.3333333,Married,1
359,26.66666667,963.3333333,Single,2
360,28.66666667,966,Divorced,1
361,28.66666667,966,Married,1
362,28.66666667,966,Single,1
363,31.5,554.25,Divorced,1
364,31.5,554.25,Married,3
365,32,596.75,Divorced,2
366,32,596.75,Married,1
367,32,596.75,Single,1
368,34.25,539.25,Divorced,1
369,34.25,539.25,Married,1
370,34.25,539.25,Single,2
371,34.5,588.75,Divorced,2
372,34.5,588.75,Married,2
373,31.33333333,693.6666667,Divorced,1
374,31.33333333,693.6666667,Married,1
375,31.33333333,693.6666667,Single,1
376,31.33333333,748.6666667,Divorced,1
377,31.33333333,748.6666667,Married,1
378,31.33333333,748.6666667,Single,1
379,34.33333333,630,Married,1
380,34.33333333,630,Single,2
381,34,669.5,Divorced,2
382,34,669.5,Married,1
383,34,669.5,Single,1
384,33.66666667,695,Divorced,1
385,33.66666667,695,Single,2
386,34.5,737.25,Divorced,1
387,34.5,737.25,Married,1
388,34.5,737.25,Single,2
389,34.2,793.4,Divorced,1
390,34.2,793.4,Married,1
391,34.2,793.4,Single,3
392,33.33333333,927.6666667,Divorced,2
393,33.33333333,927.6666667,Single,1
394,35,900.5,Divorced,1
395,35,900.5,Married,3
396,33,988.5,Married,1
397,33,988.5,Single,3
398,35,995.75,Divorced,3
399,35,995.75,Married,1
400,27.66666667,1055,Married,2
401,27.66666667,1055,Single,1
402,27.66666667,1097.666667,Divorced,1
403,27.66666667,1097.666667,Married,1
404,27.66666667,1097.666667,Single,1
405,28,1122.666667,Divorced,2
406,28,1122.666667,Married,1
407,29,1137.666667,Divorced,2
408,29,1137.666667,Married,1
409,27.66666667,1163.666667,Divorced,1
410,27.66666667,1163.666667,Married,2
411,29,1186.333333,Married,3
412,27.33333333,1239.666667,Divorced,1
413,27.33333333,1239.666667,Married,2
414,29,1257.666667,Divorced,3
415,28.33333333,1293.666667,Divorced,1
416,28.33333333,1293.666667,Married,1
417,28.33333333,1293.666667,Single,1
418,27.66666667,1326.666667,Married,2
419,27.66666667,1326.666667,Single,1
420,27,1393,Married,1
421,27,1393,Single,2
422,28.66666667,1409,Married,1
423,28.66666667,1409,Single,2
424,27.66666667,1463,Married,2
425,27.66666667,1463,Single,1
426,28.66666667,1496,Divorced,1
427,28.66666667,1496,Single,2
428,28,1509,Divorced,1
429,28,1509,Married,1
430,28,1509,Single,1
431,29,1526.333333,Married,2
432,29,1526.333333,Single,1
433,33,1081.333333,Divorced,1
434,33,1081.333333,Single,2
435,34.4,1066.6,Divorced,2
436,34.4,1066.6,Married,1
437,34.4,1066.6,Single,2
438,33,1126.333333,Married,1
439,33,1126.333333,Single,2
440,33,1221.666667,Married,3
441,34.75,1192.25,Divorced,1
442,34.75,1192.25,Married,2
443,34.75,1192.25,Single,1
444,34,1258.666667,Divorced,1
445,34,1258.666667,Married,2
446,34.25,1286.5,Divorced,1
447,34.25,1286.5,Married,2
448,34.25,1286.5,Single,1
449,31,1366.333333,Married,1
450,31,1366.333333,Single,2
451,31,1417,Divorced,1
452,31,1417,Married,1
453,31,1417,Single,1
454,31.33333333,1436.333333,Married,1
455,31.33333333,1436.333333,Single,2
456,31,1457.666667,Divorced,1
457,31,1457.666667,Single,2
458,30,1486.666667,Divorced,2
459,30,1486.666667,Married,1
460,31.33333333,1505.666667,Married,1
461,31.33333333,1505.666667,Single,2
462,34.33333333,1350,Divorced,1
463,34.33333333,1350,Single,2
464,34.33333333,1373.333333,Divorced,1
465,34.33333333,1373.333333,Married,2
466,34,1386,Married,2
467,34,1386,Single,1
468,34.33333333,1430,Divorced,1
469,34.33333333,1430,Married,1
470,34.33333333,1430,Single,1
471,34,1479.75,Divorced,1
472,34,1479.75,Married,1
473,34,1479.75,Single,2
474,34.5,1524.25,Married,3
475,34.5,1524.25,Single,1
476,25,1973.333333,Married,1
477,25,1973.333333,Single,2
478,25.33333333,2023.333333,Divorced,2
479,25.33333333,2023.333333,Single,1
480,29.5,1568.5,Married,3
481,29.5,1568.5,Single,1
482,29.25,1629.5,Divorced,2
483,29.25,1629.5,Married,1
484,29.25,1629.5,Single,1
485,29.6,1736.4,Divorced,1
486,29.6,1736.4,Married,2
487,29.6,1736.4,Single,2
488,29.6,1769.6,Divorced,2
489,29.6,1769.6,Married,1
490,29.6,1769.6,Single,2
491,27.33333333,1857.333333,Divorced,1
492,27.33333333,1857.333333,Married,1
493,27.33333333,1857.333333,Single,1
494,27.33333333,1881,Married,2
495,27.33333333,1881,Single,1
496,29,1851.666667,Divorced,2
497,29,1851.666667,Married,1
498,29.25,1873,Married,1
499,29.25,1873,Single,3
500,28.4,1937.8,Married,2
501,28.4,1937.8,Single,3
502,29,2016.6,Divorced,1
503,29,2016.6,Married,3
504,29,2016.6,Single,1
505,34,1584.666667,Married,2
506,34,1584.666667,Single,1
507,35,1574,Divorced,1
508,35,1574,Married,2
509,35,1574,Single,2
510,34.75,1616.75,Divorced,1
511,34.75,1616.75,Married,3
512,34.75,1652.25,Divorced,2
513,34.75,1652.25,Married,1
514,34.75,1652.25,Single,1
515,31.33333333,1741.333333,Married,2
516,31.33333333,1741.333333,Single,1
517,31.33333333,1769.666667,Married,2
518,31.33333333,1769.666667,Single,1
519,34.33333333,1700.333333,Married,2
520,34.33333333,1700.333333,Single,1
521,34.25,1759,Divorced,1
522,34.25,1759,Married,2
523,34.25,1759,Single,1
524,31,1903,Divorced,3
525,32,1937,Divorced,1
526,32,1937,Single,2
527,34.66666667,1802.666667,Divorced,1
528,34.66666667,1802.666667,Married,1
529,34.66666667,1802.666667,Single,1
530,34.33333333,1843.666667,Married,3
531,34.33333333,1902,Married,3
532,34.33333333,1942.333333,Married,2
533,34.33333333,1942.333333,Single,1
534,31.66666667,1959,Divorced,1
535,31.66666667,1959,Married,1
536,31.66666667,1959,Single,1
537,31,1973.333333,Divorced,1
538,31,1973.333333,Married,2
539,31.66666667,2006.333333,Married,2
540,31.66666667,2006.333333,Single,1
541,31.66666667,2037,Married,1
542,31.66666667,2037,Single,2
543,33.33333333,1971.666667,Divorced,3
544,35,1991,Married,2
545,35,1991,Single,1
546,33.66666667,2037.333333,Married,3
547,35,2047,Married,2
548,35,2047,Single,1
549,38.33333333,26,Married,1
550,38.33333333,26,Single,2
551,41.33333333,31.33333333,Married,2
552,41.33333333,31.33333333,Single,1
553,38,126.3333333,Divorced,1
554,38,126.3333333,Single,2
555,40.25,169,Divorced,2
556,40.25,169,Married,2
557,40,237.75,Divorced,1
558,40,237.75,Married,3
559,41.25,236.25,Divorced,2
560,41.25,236.25,Married,1
561,41.25,236.25,Single,1
562,38.66666667,327.3333333,Divorced,2
563,38.66666667,327.3333333,Single,1
564,38,378.6666667,Divorced,2
565,38,378.6666667,Married,1
566,38.66666667,422.3333333,Divorced,1
567,38.66666667,422.3333333,Married,2
568,38.66666667,450,Divorced,1
569,38.66666667,450,Married,2
570,40,324.6666667,Divorced,2
571,40,324.6666667,Married,1
572,41.6,329.8,Divorced,2
573,41.6,329.8,Married,1
574,41.6,329.8,Single,2
575,40.66666667,443,Married,1
576,40.66666667,443,Single,2
577,42,441.2,Divorced,1
578,42,441.2,Married,2
579,42,441.2,Single,2
580,37,699,Divorced,1
581,37,699,Married,1
582,37,699,Single,1
583,37,727,Married,1
584,37,727,Single,2
585,40,497,Divorced,1
586,40,497,Married,2
587,39.66666667,536.6666667,Divorced,1
588,39.66666667,536.6666667,Married,2
589,41.33333333,513,Divorced,1
590,41.33333333,513,Married,1
591,41.33333333,513,Single,1
592,42,563,Divorced,1
593,42,563,Married,2
594,41.33333333,606.6666667,Married,1
595,41.33333333,606.6666667,Single,2
596,41.25,687.25,Divorced,1
597,41.25,687.25,Married,3
598,38.33333333,758.6666667,Married,2
599,38.33333333,758.6666667,Single,1
600,38,844.3333333,Divorced,1
601,38,844.3333333,Married,1
602,38,844.3333333,Single,1
603,41,782.75,Divorced,2
604,41,782.75,Married,1
605,41,782.75,Single,1
606,41.6,852.8,Married,3
607,41.6,852.8,Single,2
608,38.66666667,930.3333333,Married,3
609,38.5,1000,Married,2
610,38.5,1000,Single,2
611,40,968,Divorced,2
612,40,968,Single,1
613,41.2,968.8,Divorced,2
614,41.2,968.8,Single,3
615,47,34,Married,1
616,47,34,Single,2
617,46,88.5,Divorced,2
618,46,88.5,Married,1
619,46,88.5,Single,1
620,45,212.6666667,Divorced,2
621,45,212.6666667,Single,1
622,46.75,164,Divorced,1
623,46.75,164,Married,2
624,46.75,164,Single,1
625,46.25,282.25,Divorced,2
626,46.25,282.25,Married,1
627,46.25,282.25,Single,1
628,45.25,353,Married,4
629,45.33333333,454.6666667,Divorced,1
630,45.33333333,454.6666667,Married,2
631,53.66666667,46.33333333,Divorced,2
632,53.66666667,46.33333333,Married,1
633,54,146.25,Married,3
634,54,146.25,Single,1
635,58.25,73.5,Married,1
636,58.25,73.5,Single,3
637,57.75,149.25,Married,3
638,57.75,149.25,Single,1
639,50.33333333,244.3333333,Married,1
640,50.33333333,244.3333333,Single,2
641,51.66666667,290.3333333,Married,2
642,51.66666667,290.3333333,Single,1
643,51,335,Divorced,1
644,51,335,Married,1
645,51,335,Single,1
646,51,408.6666667,Divorced,2
647,51,408.6666667,Married,1
648,54,269,Divorced,1
649,54,269,Married,1
650,54,269,Single,1
651,54.25,399.75,Married,2
652,54.25,399.75,Single,2
653,57,226,Divorced,2
654,57,226,Married,1
655,58.25,383.5,Divorced,1
656,58.25,383.5,Married,3
657,46,556,Divorced,2
658,46,556,Married,1
659,46.66666667,583.3333333,Married,3
660,45.33333333,638,Married,3
661,47.5,712.5,Divorced,1
662,47.5,712.5,Married,2
663,47.5,712.5,Single,1
664,46,805.5,Married,1
665,46,805.5,Single,3
666,46.75,909.25,Divorced,1
667,46.75,909.25,Married,2
668,46.75,909.25,Single,1
669,45.25,994.25,Divorced,2
670,45.25,994.25,Married,2
671,47.5,1009,Divorced,1
672,47.5,1009,Single,3
673,49.66666667,519.6666667,Married,1
674,49.66666667,519.6666667,Single,2
675,51.66666667,529.6666667,Married,3
676,50.33333333,637.3333333,Divorced,2
677,50.33333333,637.3333333,Married,1
678,50,725.6666667,Married,3
679,50,835.3333333,Married,3
680,52,793.3333333,Married,3
681,50.33333333,886.3333333,Divorced,1
682,50.33333333,886.3333333,Married,2
683,50.25,980.5,Divorced,1
684,50.25,980.5,Married,3
685,57,538.5,Divorced,1
686,57,538.5,Married,2
687,57,538.5,Single,1
688,57.75,666,Married,2
689,57.75,666,Single,2
690,55.5,813.25,Divorced,1
691,55.5,813.25,Married,1
692,55.5,813.25,Single,2
693,57,962,Divorced,2
694,57,962,Married,1
695,57,962,Single,1
696,37.66666667,1043,Married,2
697,37.66666667,1043,Single,1
698,37.5,1093.5,Divorced,2
699,37.5,1093.5,Married,1
700,37.5,1093.5,Single,1
701,39.66666667,1067,Married,2
702,39.66666667,1067,Single,1
703,39.33333333,1129,Divorced,1
704,39.33333333,1129,Single,2
705,41.33333333,1049.666667,Divorced,1
706,41.33333333,1049.666667,Married,2
707,41.66666667,1138.333333,Married,2
708,41.66666667,1138.333333,Single,1
709,40,1186,Married,2
710,40,1186,Single,1
711,41.66666667,1182.666667,Divorced,1
712,41.66666667,1182.666667,Single,2
713,41.33333333,1237.333333,Divorced,1
714,41.33333333,1237.333333,Married,2
715,40,1306.75,Divorced,1
716,40,1306.75,Married,1
717,40,1306.75,Single,2
718,40.8,1339.6,Divorced,2
719,40.8,1339.6,Married,1
720,40.8,1339.6,Single,2
721,40.8,1499.6,Divorced,2
722,40.8,1499.6,Married,1
723,40.8,1499.6,Single,2
724,37.33333333,1636.333333,Married,3
725,38,1676.666667,Married,2
726,38,1676.666667,Single,1
727,37,1786.333333,Married,3
728,37.33333333,1802.666667,Divorced,2
729,37.33333333,1802.666667,Single,1
730,39.66666667,1675.666667,Married,2
731,39.66666667,1675.666667,Single,1
732,41,1702.666667,Married,1
733,41,1702.666667,Single,2
734,40,1798.25,Divorced,2
735,40,1798.25,Married,1
736,40,1798.25,Single,1
737,41.4,1794.4,Divorced,3
738,41.4,1794.4,Married,1
739,41.4,1794.4,Single,1
740,38,1988,Married,3
741,37.66666667,2024.333333,Married,3
742,39.33333333,1897.333333,Divorced,2
743,39.33333333,1897.333333,Married,1
744,39.33333333,1965.333333,Married,2
745,39.33333333,1965.333333,Single,1
746,41.66666667,1874.333333,Married,2
747,41.66666667,1874.333333,Single,1
748,42,1943.333333,Divorced,1
749,42,1943.333333,Married,1
750,42,1943.333333,Single,1
751,40,2024.25,Married,3
752,40,2024.25,Single,1
753,41.4,2019.8,Divorced,2
754,41.4,2019.8,Married,3
755,45,1070.333333,Married,2
756,45,1070.333333,Single,1
757,46.66666667,1088.333333,Divorced,2
758,46.66666667,1088.333333,Single,1
759,45.66666667,1174.333333,Married,3
760,46.66666667,1234.333333,Divorced,1
761,46.66666667,1234.333333,Married,1
762,46.66666667,1234.333333,Single,1
763,46.33333333,1273.333333,Married,1
764,46.33333333,1273.333333,Single,2
765,46.33333333,1327.666667,Single,3
766,45.33333333,1460.666667,Divorced,2
767,45.33333333,1460.666667,Married,1
768,47.33333333,1449,Divorced,1
769,47.33333333,1449,Married,2
770,50,1043.666667,Married,3
771,52,1056.333333,Married,3
772,50.33333333,1123,Married,1
773,50.33333333,1123,Single,2
774,50.66666667,1224,Divorced,1
775,50.66666667,1224,Married,2
776,50.66666667,1298.666667,Divorced,1
777,50.66666667,1298.666667,Married,1
778,50.66666667,1298.666667,Single,1
779,51.33333333,1346,Divorced,1
780,51.33333333,1346,Single,2
781,49,1459,Divorced,1
782,49,1459,Married,1
783,49,1459,Single,1
784,52,1418.25,Married,3
785,52,1418.25,Single,1
786,54.66666667,1059.333333,Married,2
787,54.66666667,1059.333333,Single,1
788,54.33333333,1197,Divorced,1
789,54.33333333,1197,Married,2
790,58,1050.333333,Married,2
791,58,1050.333333,Single,1
792,58.33333333,1226,Divorced,2
793,58.33333333,1226,Single,1
794,57.75,1322.25,Divorced,1
795,57.75,1322.25,Married,1
796,57.75,1322.25,Single,2
797,56.75,1430,Married,4
798,45.33333333,1542,Divorced,1
799,45.33333333,1542,Married,2
800,45.33333333,1608.333333,Married,1
801,45.33333333,1608.333333,Single,2
802,48,1523,Divorced,1
803,48,1523,Married,2
804,48,1606,Married,3
805,48.66666667,1653.333333,Married,3
806,48.33333333,1675.666667,Divorced,2
807,48.33333333,1675.666667,Single,1
808,47.33333333,1712.666667,Married,3
809,47.66666667,1813.333333,Divorced,1
810,47.66666667,1813.333333,Single,2
811,47.66666667,1900.333333,Divorced,1
812,47.66666667,1900.333333,Married,2
813,48,1999.75,Married,3
814,48,1999.75,Single,1
815,53.4,1644.2,Divorced,1
816,53.4,1644.2,Married,4
817,56,1648,Divorced,2
818,56,1648,Married,3
819,53.66666667,1922.333333,Married,2
820,53.66666667,1922.333333,Single,1
821,51.5,2024.5,Divorced,3
822,51.5,2024.5,Single,1
823,56.75,1860.25,Divorced,1
824,56.75,1860.25,Married,2
825,56.75,1860.25,Single,1
826,56.2,1980.8,Divorced,1
827,56.2,1980.8,Married,4
828,34.66666667,58.66666667,Divorced,1
829,34.66666667,58.66666667,Married,1
830,34.66666667,58.66666667,Single,1
831,35,73,Married,3
832,31,429.3333333,Divorced,2
833,31,429.3333333,Married,1
834,31,465.6666667,Married,1
835,31,465.6666667,Single,2
836,32,380.3333333,Married,2
837,32,380.3333333,Single,1
838,32,448.6666667,Married,2
839,32,448.6666667,Single,1
840,34.33333333,405,Divorced,1
841,34.33333333,405,Married,2
842,34,472.75,Single,4
843,34,831,Married,2
844,34,831,Single,1
845,35,842.3333333,Single,3
846,34.33333333,1130.666667,Divorced,1
847,34.33333333,1130.666667,Married,1
848,34.33333333,1130.666667,Single,1
849,34.66666667,1166.333333,Married,2
850,34.66666667,1166.333333,Single,1
851,47,430,Married,2
852,47,430,Single,1
853,48.66666667,433.3333333,Married,1
854,48.66666667,433.3333333,Single,2
855,40,1395,Divorced,2
856,40,1395,Married,1
857,41.33333333,1416,Divorced,1
858,41.33333333,1416,Married,2
859,40.66666667,1548.333333,Married,2
860,40.66666667,1548.333333,Single,1
861,40.66666667,1581.666667,Divorced,1
862,40.66666667,1581.666667,Married,1
863,40.66666667,1581.666667,Single,1
